2021-08-13 14:58:25 DEBUG DriverManagerConnectionProviderImpl:384 - Initializing Connection pool with 1 Connections
2021-08-13 14:58:25 INFO  DriverManagerConnectionProviderImpl:249 - HHH000115: Hibernate connection pool size: 20 (min=1)
2021-08-13 14:58:25 DEBUG JdbcEnvironmentInitiator:72 - Database ->
       name : MySQL
    version : 8.0.22
      major : 8
      minor : 0
2021-08-13 14:58:25 DEBUG JdbcEnvironmentInitiator:83 - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.25 (Revision: 08be9e9b4cba6aa115f9b27b215887af40b159e0)
      major : 8
      minor : 0
2021-08-13 14:58:25 DEBUG JdbcEnvironmentInitiator:389 - JDBC version : 4.2
2021-08-13 14:58:25 INFO  Dialect:172 - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-08-13 14:58:25 DEBUG IdentifierHelperBuilder:113 - JDBC driver metadata reported database stores quoted identifiers in more than one case
2021-08-13 14:58:25 DEBUG IdentifierHelperBuilder:187 - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [LOWER]; that will likely lead to problems in schema update and validation if using quoted identifiers
2021-08-13 14:58:25 DEBUG Namespace:51 - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
2021-08-13 14:58:25 DEBUG TypeConfiguration$Scope:152 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@ce9b9a9] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@4ad3d266]
2021-08-13 14:58:26 DEBUG AnnotationBinder:557 - Binding entity from annotated class: com.revature.ers.util.EmployeeEntity
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
2021-08-13 14:58:26 DEBUG EntityBinder:430 - Import with entity name EmployeeEntity
2021-08-13 14:58:26 DEBUG EntityBinder:873 - Bind entity com.revature.ers.util.EmployeeEntity on table ers_employee_entity
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(ers_employee_entity), mappingColumn=employee_id, insertable=true, updatable=true, unique=false}
2021-08-13 14:58:26 DEBUG PropertyBinder:175 - MetadataSourceProcessor property employeeId with lazy=false
2021-08-13 14:58:26 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.revature.ers.util.EmployeeEntity:employeeId]
2021-08-13 14:58:26 DEBUG SimpleValueBinder:411 - building SimpleValue for employeeId
2021-08-13 14:58:26 DEBUG PropertyBinder:266 - Building property employeeId
2021-08-13 14:58:26 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(employee_id)]), employeeId, assigned, , ...)
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(ers_employee_entity), mappingColumn=addedOn, insertable=true, updatable=true, unique=false}
2021-08-13 14:58:26 DEBUG PropertyBinder:175 - MetadataSourceProcessor property addedOn with lazy=false
2021-08-13 14:58:26 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.revature.ers.util.EmployeeEntity:addedOn]
2021-08-13 14:58:26 DEBUG SimpleValueBinder:411 - building SimpleValue for addedOn
2021-08-13 14:58:26 DEBUG PropertyBinder:266 - Building property addedOn
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(ers_employee_entity), mappingColumn=department, insertable=true, updatable=true, unique=false}
2021-08-13 14:58:26 DEBUG PropertyBinder:175 - MetadataSourceProcessor property department with lazy=false
2021-08-13 14:58:26 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.revature.ers.util.EmployeeEntity:department]
2021-08-13 14:58:26 DEBUG SimpleValueBinder:411 - building SimpleValue for department
2021-08-13 14:58:26 DEBUG PropertyBinder:266 - Building property department
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(ers_employee_entity), mappingColumn=designation, insertable=true, updatable=true, unique=false}
2021-08-13 14:58:26 DEBUG PropertyBinder:175 - MetadataSourceProcessor property designation with lazy=false
2021-08-13 14:58:26 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [com.revature.ers.util.EmployeeEntity:designation]
2021-08-13 14:58:26 DEBUG SimpleValueBinder:411 - building SimpleValue for designation
2021-08-13 14:58:26 DEBUG PropertyBinder:266 - Building property designation
2021-08-13 14:58:26 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(ers_employee_entity), mappingColumn=email, insertable=true, updatable=true, unique=false}
